Summary,Priority,Severity
[spy] provide a 'x' in the top right corner to close the view,P3,normal
[log view] log selection menu should be radio style,P3,enhancement
[doc] missing context help for some dialogs,P3,normal
Missing NLS message in org.eclipse.pde.internal.core.pderesources,P3,blocker
"[schema] SchemaTransformer doesn't generate help for ""API Information"" sections",P3,normal
Warning and quick fix for GenericRequire/GenericProvide,P3,normal
[Viewers] [Javadoc] [patch] Paper-cut - StructuredViewer Javadoc is codified,P3,trivial
[patch] Typo in pluginClasspathContributors.exsd,P3,trivial
[extract method] Name ambiguous return value in error message,P3,enhancement
[ViewMgmt] Show View Dialog should indicate/filter Visible Views,P3,enhancement
[extract method] missing return type when code can throw exception,P3,normal
[extract method] remember selected access modifier,P3,enhancement
[About] https not converted to hyperlink in About Eclipse SDK Features,P3,normal
[extract method] should declare method static if extracted from anonymous in static method,P3,normal
[extract method] Does not replace similar code in parent class of anonymous class,P3,normal
"[WorkingSets] ""Add to working set"" drop down should include a ""new working set"" option",P3,enhancement
[registryview] add a 'diagnose' action,P3,enhancement
"[extract method] Missing return value, while extracting code out of a loop",P3,normal
[dnd] Used drag/drop for views to rearrange contents of file.,P3,enhancement
[import rewriter] API to pass types visible in scope,P3,normal
[package explorer] [working sets] Enable 'New' action for working sets,P3,normal
[formatter] tab policy and indentation policy: indent on column,P3,enhancement
[formatter] Code formatter > Braces: no preview for 'Annotation Type Declaration',P3,minor
[build path] Build path  actions: use as source folder and link additional source should not append to the end,P3,normal
"[quick assist] ""Change 'if-else' statements to blocks"" should handle 'else if' sequences",P3,enhancement
"[quick fix] @SuppressWarnings(""nls"") on static initializer causes error",P3,major
[formatter] Add FORMATTER_ALIGNMENT_FOR_ASSIGNMENT support in the code formatter preference page,P3,normal
[reorg] missing import statement after move refactoring [refactoring],P3,normal
"[code manipulation] ""Sort Members"" reorders the enum constants in enums.",P3,normal
Surround with runnable quick assist,P3,enhancement
[quick assist] surround with runnable: bug with control statement bodies,P3,normal
Add FORMATTER_INSERT_SPACE_BEFORE_PARENTHESIZED_EXPRESSION_IN_RETURN to the code formatter preference page,P3,normal
[general] move refactoring missed to update qualified names [refactoring],P3,major
[preferences] Improve preview of enum constant formatting,P3,normal
[API] Public api for PackageSelectionDialog ...,P3,normal
[quick fix] fix for assigning raw,P3,normal
[quick fix] 'add unimplemented methods' does not recognise RuntimeExceptions correctly,P3,normal
[build path] External source folders on the Java Build Path should be editable/changable,P3,enhancement
Clean-up wizard NLS problems,P3,normal
[build path] New Java Project wizard: project not marked as exported on build path page,P3,normal
Remove unused local and field too dangerous for multi quick fix,P3,normal
New project wizard: error message not updated,P3,normal
Using a JDK 1.2.2 shouldn't use compiler compliance level 1.4,P3,normal
The combo box showing the available JDKs should be sorted,P3,normal
[clean up] wrong selection when starting clean up,P3,normal
[clean up] clean up does not convert static accesses as promised,P3,normal
[build path] New Java Project wizard throws exceptions when .classpath or .project are invalid,P3,minor
[clean up][unused code] remove unused local/field should be added again.,P3,normal
[build path] Configuring JREs from New Java Project wizard does not update list,P3,normal
[quick fix] Qualify with 'this' generates incorrect code,P3,normal
[clean up] Qualify with 'this' does not generate a 'this' if more then 350 warnings in a CU,P3,normal
[quick assist] Surround with template,P3,enhancement
[clean up][code style] New indirect static access and qualify static field access clean up,P3,enhancement
[build path] Can't uncheck export of source folder,P3,normal
[clean up] clean up: add 'use enhanced for loop when possible',P3,enhancement
[quick fix] Adapt JDT maker reolutions to WorkbenchMarkerResolution,P3,normal
[clean up][string fix] Wrong preview node name,P3,trivial
[build path] Edited linked source can't be reedited,P3,normal
[clean up][code syle] Using NewImportRewrite,P3,normal
[clean up][infrastructure] Mnemonic conflict on cleanup wizard page,P3,normal
"[clean up][code style] Clean up ""Qualify access to static field with declaring class"" inserts fully qualified type",P3,normal
[build path] Exception thrown in New Java Project Wizard,P3,normal
[clean up][infrastructure] Clean Up Wizard array out of bound if started without preselected CU,P3,normal
"[quickfix] ""change access to static"" fails when field or inner class hides static class name",P3,minor
[clean up][J2SE50] Failing test case in CleanUpTest#testJava5005,P3,normal
[performance] huge memory usage when large file selected in package explorer,P3,normal
[build path] Build path context menu should contain 'Add source folder',P3,normal
[quick fix] NullPointerException on Ctrl+1 quickfix suggestion,P3,normal
[correction] CorrectionMarkerResolutionGenerator his inconsistent hasResolutions and getResolutions for read-only files,P3,major
"[quick assist] NPE during clean up wizard ""for loop conversion""",P3,normal
NPE in ContextSensitiveImportRewriteContext,P3,normal
[build path] new java project wizard: help issues,P3,normal
[build path] can't change native library location for project,P3,normal
[rendering] Classpath container shown differently from 3.1,P3,major
SIOOBE in NLSSearchResultRequestor.findKey(NLSSearchResultRequestor.java:200),P3,normal
"Missing mnemonic in ""Visible Categories..."" view menu",P3,trivial
[source actions] improve order of source actions,P3,normal
[build path] Default output folder changed when assigning a src output folder,P3,normal
[action] shorten editor context menu actions,P3,normal
[quick assist] 'Convert to enhanced for loop' applicable when array access through method call,P3,critical
[clean up] semantic change when removing blocks in nested if-then-else,P3,major
[nls tooling] Wrong dialog title for 'Externalize Strings...',P3,trivial
[clean up] CE when adding generated serial version ID,P3,normal
Odd alt+shift+T (surround w/ Try-Catch) behavior,P3,normal
[quick assist] Surround with runnable is superfluous,P3,normal
[nls] Find Broken Externalized Strings action should not be enabled for accessor classes not on build path,P3,normal
build path: edit source folder has no defined semantics,P3,normal
build path: add source folder acts funnily if an existing folder name is chosen,P3,normal
[clean up] 'change all acces through instances' + 'remove unused imports' leads to code with fatal errors,P3,normal
[actions] Remove unused icons/full/*lcl16/copy_qualified.gif,P3,trivial
[build path] [regression] New Project Wizard: adding a source folder resets output folder location to default,P3,normal
[build path] New Project Wizard creates default output folder although value changed to non default,P3,normal
[package explorer] view menu 'Configure Working Sets' opens dialog with wrong title,P3,trivial
[build path] BuildPathSupport is violating ClasspathContainerInitializer api contract,P3,critical
[clean up] convert to enhanced for loop ignores assignment to array if field access,P3,major
[quick assist] NPE in ConvertForLoopOperation,P3,normal
[clean up] Remove block changes semantic of if-then-else,P3,major
[build path] allow selecting a working set for new Java project,P3,normal
[clean up] Removing qualified this expressions may change semantic,P3,major
[actions] CopyQualifiedName action should work in class file editors,P3,normal
Update doc regarding finding of nls problems,P3,trivial
[build path] Hide default package in DialogPackageExplorer,P3,minor
[nls tooling] Find Broken Externalized Strings reports false positive,P3,major
[build path] Errors creating Java project with existing name (non-case sensitive),P3,normal
[build path] New Java Project wizard leaves .project and .classpath on cancel,P3,normal
[build path] Can't edit filters on project without separate src folder,P3,major
[clean up] Convert iterable loop does not detect additional breaking conditions,P3,major
[build path] Browse default output folder prepends '/',P3,trivial
[build path] Linking source to project should always be available,P3,minor
[clean up] Add paranoical parantheses does mess up expressions,P3,normal
[clean up] Code Formating tab page should be named 'Code Formatting',P3,normal
[clean up] Code formatter allows to import clean up profiles,P3,normal
[clean up] UI issues on the clean up preference page,P3,normal
[clean up] improve the clean up preference keys,P3,normal
[clean up] both serial option radio buttons checked,P3,normal
[clean up] convert iterable loop ignores single non block body statement,P3,normal
[clean up] Converting iterable loop removes update expressions,P3,major
[clean up] Compile error after converting nested for loops without block,P3,normal
[clean up] Save participant does set cursor to editor top,P3,major
[build path] new project from existing sources in the workspace,P3,normal
[clean up] takes wrong profile,P3,major
[clean up] custom profile section in dialog: unchecked topics have enabled children,P3,normal
[clean up] Custom profile not removed when going back,P3,major
[clean up] Convert for loop does not check index variable,P3,major
[clean up] Does remove used import on organize import if syntax error,P3,major
[build path] Create New Java Project fails with a NullPointerException,P3,major
[surround with] SurroundWithActionGroup waits for AST when building editor context menu,P3,major
[clean up] Share project specific profiles does not work,P3,major
[build path] Editing of user library resets export state of this library,P3,minor
[clean up] NPE on remove unused local types,P3,normal
[clean up] Widget disposed exception in CleanUpSaveParticipantPreferenceConfiguration,P3,major
[package explorer] [working sets] Offer 'Add to Working Set' action on projects,P3,normal
[refactoring] Move text refactoring target dialog too big,P3,minor
[actions] Assign Working Sets if there are no working sets,P3,normal
[working sets] Reveal changed element after 'Assign Working Sets',P3,normal
[build path] NPE in New Java Project Wizard,P3,major
[working sets] 'Working Set Assignments' dialog should better handle multiple selections,P3,normal
[working sets] New wizards started off working sets have wrong init values,P3,normal
[working sets] 'New' action not available if >1 working set selected,P3,normal
[nls tooling] Find Broken Externalized Strings reports wrong messages,P3,normal
[build path] Creating Java project fails on Mac,P3,normal
[build path] CE when creating new project on not existing drive,P3,normal
[build path] Mark JRE_Lib as deprecated on java project preference page,P3,trivial
[preferences] Preferences -> Java -> Code Style -> Clean Up crashes when internal browser is not available,P3,normal
[build path] Output folder on source folders gets stripped when project established in IDE,P3,normal
[package explorer] new context menu not available on empty selection,P3,trivial
[Working Sets][package explorer] Others WS not updated if not first WS,P3,normal
[clean up] Add this qualifier radios interconnected,P3,trivial
[preferences] use SWT.COLOR_WIDGET_BACKGROUND for disabled backgrounds; use SWT.COLOR_DARK_GRAY for disabled foregrounds,P3,trivial
[refactoring] strange OperationCancelledException in Introduce Indirection,P3,normal
[package explorer] [working sets] 'New...' button missing mnemonic on assign WS dialog,P3,trivial
[build path] NPE when restoring invalid project in workspace root,P3,trivial
[Introduce Parameter Object] Can not assign shortcut to command,P3,normal
[clean up] improve 'show wizard' label on pref page,P3,normal
BulletListBlock is not read only,P3,trivial
[clean up] removes required parentheses around nested conditional expression,P3,normal
[preferences] dialog font not used in clean up dialog,P3,trivial
[clean up][format] need to catch up from bug 185928,P3,normal
[clean up] Clean Up wizard needs too much space/is ugly,P3,normal
[clean up] Bullet list on clean up wizard does not respect dialog font,P3,normal
[extract superclass] NPE when extracting no method,P3,normal
[reorg] Deleting class folder results in unexpected project deletion,P3,major
[build path] Project can add itself as class folder,P3,major
[api] breaking API change: public method removed on OrganizeImportsAction,P3,critical
[preferences] TVT33:TCT624: pt - truncated window,P3,minor
"[clean up] use modifier ""final"" where possible removes annotations",P3,critical
[working sets] Working Set Assignments dialog does not use dialog font for checkbox,P3,trivial
[formatting] Formatting selection corrupts editor,P3,major
[nls tooling] Externalize Strings wizard does not properly sort/insert new entries,P3,normal
[templates] some typos in templates,P3,major
[reorg] Test failure in MoveTest in N20070805-0010,P3,normal
[refactoring scripts] NPE when selecting node in refactoring history dialog,P3,normal
"[dnd] Move of PackageDeclaration, ImportContainer, ImportDeclaration fails",P3,normal
[dnd] Drag from Type Hierarchy does not show default op on target in some cases,P3,normal
[dnd] Element reordering via DnD should not format field comments,P3,normal
[organize imports] does not organize imports in some cases,P3,major
[clean up] convert for loops removes local,P3,major
No SWT templates after adding SWT to maven,P3,normal
SWT templates description should use lower case,P3,trivial
SWT templates for GridData: use SWT.CENTER,P3,normal
[package explorer] [working sets] Configure Working Sets dialog issues,P3,trivial
[doc] [preferences] Help needed to explain shared profiles for JDT formatter,P3,enhancement
[clean up] IAE while saving,P3,major
[clean up] 'Sort members' action uses workspace/project clean up options,P3,major
[clean up] Change parenthesis clean up does work for all expressions,P3,normal
[clean up] Remove parentheses is too aggressive,P3,major
[clean up] Remove parentheses is too aggressive also for modulo operator,P3,major
[clean up] MalformedTreeException on save,P3,major
[clean up] Bad enhanced for-loop for arrays which are fields,P3,major
[breadcrumb] provide F1 help,P3,normal
[breadcrumb] support (Ctrl+)(Shift+)Tab,P3,normal
[breadcrumb] NPE when closing editor,P3,major
[breadcrumb] Not updated anymore when switching from drop down to editor,P3,major
[breadcrumb] context menu does not appear on right-click on the Mac,P3,normal
[breadcrumb] Search dialogs are not initialized with selection,P3,normal
[breadcrumb] linux: left-right doesn't work,P3,normal
[breadcrumb] Widget disposed exception when opening type,P3,major
[breadcrumb] Widget disposed when shut down eclipse with open drop down,P3,normal
[breadcrumb] Opening types drop down does execute filter job,P3,normal
[clean up] sort members sorts fields by visibility even if field sorting is disabled,P3,major
[clean up] Remove static accesses through instances may remove code with side-effects,P3,major
[clean up] Migration problem of project-specific cleanup preferences,P3,major
"[clean up] Code clean up mistakenly removes a required ""this"" keyword",P3,major
[misc] Unify Javadoc view and hover back/forward,P3,minor
[breadcrumb] Does not retarget editor actions if open external,P3,major
[navigation] Improve Java element hyperlinking if resolved to > 1 element,P3,enhancement
[nls] NLS wizard broken when editing translated strings,P3,critical
[navigation] MultiHyperlink rendered with gray borders on right and bottom,P3,normal
[hovering] 'Configure Annotation Preference' toolbar button should be plural,P3,trivial
[breadcrumb] Show non-Java resources as children of packages,P3,enhancement
[hovering] Severity config should be easier in case on non-project settings,P3,enhancement
[hovering] quick fixes should also appear for non-Java problems,P3,enhancement
[clean up] IAE on format changed lines on save,P3,major
[breadcrumb] Should support RTL,P3,normal
[breadcrumb] Does not show popup arrow if first child added,P3,normal
[jar exporter] NPE for projects with external class folders,P3,normal
[runnable JAR exporter] accessibility label missing,P3,trivial
[breadcrumb] Stays on top when workbench window is moved,P3,normal
[jar exporter] External class folder not exported by runnable jar wizard,P3,normal
[clean up] Should use bindings recovery,P3,normal
[breadcrumb] unfocused dropdown not closed when leaving workbench window,P3,normal
[breadcrumb] Drop-downs need polish on linux-gtk,P3,normal
[breadcrumb] 'Copy' doesn't work from breadcrumb bar,P3,normal
[breadcrumb] Open right most drop down should set focus into dropdown,P3,normal
[breadcrumb] Test failure in org.eclipse.jdt.ui.tests.leaks.JavaLeakTest.testJavaEditorBreadcrumbCloseOneOfTwo2(),P3,normal
[breadcrumb] Keyboard navigation in drop down tree does not work on OSX,P3,major
[breadcrumb] Dropdown opens and then closes when clicking shrinked item,P3,normal
[breadcrumb] Breadcrumb bar flashes when building project,P3,normal
[breadcrumb] Multiple dropdown shells from breadcrumbs,P3,normal
[clean up] Convert for loop gets lost with array being qualified name,P3,major
[jar exporter] JAR Export should use a buffered output to gain speed,P3,enhancement
[breadcrumb] Need two clicks to open child arrow drop down if other already open on osx,P3,normal
[clean up] Huge clean up dialog on OSX,P3,normal
AnnotationModelPerformanceTest are unreliable,P3,normal
[breadcrumb] CVS decoration freezes eclipse if many elements to decorate in drop down,P3,normal
"[ccp] ""copy qualified name"" should copy path to ICU",P3,normal
[jar exporter] Runnable JAR Exporter should not preset '.xml' into File name field,P3,trivial
[quick fix] Call to IUndoManager#aboutToPerformChange must be follwed by changePerformed,P3,trivial
[breadcrumb] Needs review of label updating on element change,P3,normal
[breadcrumb] Styled text keeps focus when opening drop down on the Mac,P3,major
[breadcrumb] drop down stays when opening context menu on any breadcrumb item,P3,normal
[breadcrumb] Does not resize if switching back from other editor,P3,normal
Range indicator (magnet) sometimes not drawn,P3,major
"[clean up] Save Cleanup action ""use_blocks_only_for_return_and_throw"" toggles block",P3,major
[quick assist] convert to enhanced for loop applied incorrectly,P3,major
[clean up] Clean-Up of For-Each plus use final produces extra 'final' modifier,P3,normal
[quick assist] convert to enhanced for loop changes semantics for multiple-assigned variable,P3,normal
[quick assist] 'convert to enhanced for loop' unnecessarily blocked for multiple-assigned variable,P3,normal
[Workbench] Cannot minimize window during extensive refresh/recompile.,P3,normal
Need to remove commented out motif and gtk test suites,P3,normal
Use null to clear message text instead of empty string,P3,normal
Views keep resizing after mouse up,P3,normal
[JFace] Unreadable button fonts,P3,major
[Dialogs] New folder dialog is too tall,P3,minor
popup menu has bunch of empty items,P3,normal
[Workbench] Wrong javadoc comment for field org.eclipse.ui.ISharedImages.IMG_TOOL_COPY_HOVER,P3,normal
[Dialogs] Buttons are too high,P3,normal
[Dialogs] Pattern matching changes Open Resource type-ahead behaviour,P3,normal
[Dialogs] Open Resource dialog has OK enabled when entry invalid,P3,normal
[Workbench] Need way to start eclipse with SWT in debug mode,P3,enhancement
[Dialogs] TitleAreaDialog tooltip not useful,P3,enhancement
[WorkbenchLauncher] Workspace Launcher dialog does not use dialog font,P3,normal
Button heights incorrect on MacOS X,P3,normal
Program API does not work with GNOME 2.8 (libgnomevfs-WARNING),P3,normal
[Dialogs] Save As dialog not resizable,P3,normal
"[Dialogs] open type dialog enables ""Ok"" when no classes were found",P3,normal
SWT gets window origin even if nobody has hooked a motion event,P3,normal
[Dialogs] ResourceInfoPage should set background on read-only text widgets,P3,normal
[Wizards] Bad grammar in the error message given when importing an invalid zip file,P3,trivial
[Import/Export] Group boxes should not use colons,P3,trivial
implement GC.drawFocus,P3,normal
Table fails to setTopIndex after new items are added to the table,P3,critical
Uncompressed Tar archiving is 10 to 20 X slower then zip or compressed tar,P3,normal
[Import/Export] Import Project Wizard problems,P3,normal
[Import/Export] Output tar files are too short,P3,normal
[Import/Export] tar import/export does not preserve file permissions,P3,normal
[Linux GTK] SWT Text  displays the wrong characters if call addModifyListener,P3,normal
[Import/Export] Import projects wizard layout improvements,P3,normal
[About] About > Configuration Details should use text font,P3,enhancement
[Import/Export] Descriptions for import and export wizards should be in complete sentences,P3,normal
Control.redraw() invalidates children on Linux-GTK,P3,normal
TreeView: setting gray gives free check mark,P3,normal
drawImage doesn't honor clip rect,P3,major
rxvt pastes null terminator,P3,normal
[Import/Export] Unused manifest file generation code in ZipFileExporter,P3,normal
[Import/Export] Cannot import tar files with 8-bit filenames,P3,major
Check button size does not change when right aligned,P3,normal
TabFolder position change broken,P3,normal
Cannot open filenames with 8-bit characters,P3,normal
Directory dialog does not deal with non-UTF8 filenames,P3,normal
View contents are drawn over tab area,P3,major
Use GDK_HAND2 instead of GDK_HAND1 for SWT.CURSOR_HAND,P3,trivial
getClientArea() cause Shell to be resized to its initial size,P3,normal
"Eclipse crashes when clicking on ""View Installation History""",P3,normal
NPE in Shell.gtk_focus_out_event,P3,normal
Label.computeSize() returning incorrect values when using WRAP,P3,normal
Table item not updated when item count == 1,P3,normal
[Import/Export] Tarfile Inputstream Broken,P3,normal
Multiple expansion broken in trees,P3,normal
[Import/Export] Problems with reading long file names in tar files,P3,major
[Import/Export] Ignore spaces in mode and size fields of tar files,P3,normal
Impossible to run or debug an SWT-application from within eclipse,P3,normal
Extremely jumpy resizing in the ControlExample,P3,major
Dialog size problems when using the ion window manager,P3,major
FontDialog leaks a string,P3,major
Name Conflict dialog appears behind Progress dialog,P3,critical
Misspelling in WizardNewCreationPage javadoc.,P3,trivial
[Import/Export] Spaces in a tar file checksum confuse the tar importer,P3,normal
JDT Text test don't run anymore (out of handles) - works with SWT 3.2 M1,P3,major
LineBackgroundListener no longer works,P3,blocker
SWTException closing GLCanvas in an RCP application on Mac OS X,P3,major
[quick assist] concatenate/merge string literals,P3,enhancement
Switching to Help Search removes busy cursor,P3,normal
Can't do anything in Help->Web Browsers preference page,P3,normal
N2.5 Print button does not work,P3,normal
Double-clicking toolbar above content frame does not maximize,P3,normal
2.1 RC2; Search scope returns to All Documents,P3,normal
2.1 RC2; invisible border for scrollable in working set dialog with hith contrast,P3,normal
2.1 RC2; White space help working set name problems.,P3,normal
"[new UI] Part 3,B2: Bogus is not grayed out, XYZ is checked in the Optional Features page",P3,normal
Cannot add new local site in UpdateManager,P3,trivial
'Edit site location' fails to update site internally,P3,normal
Feature Properties Dialog; License Agreement page; Show in Browser has no mnemonic,P3,normal
Restart dialog shown even when Cancel pressed,P3,normal
Install Wizard; cropped buttons on Search Result page,P3,normal
"Install/Update pref Page; clean workspace differs from ""Restore Defaults""",P3,normal
org.eclipse.update.configurator: MESSAGE sync failed,P3,major
[Markers] Cannot resize table columns with keyboard or change sort order,P3,enhancement
[Viewers] Accessibility: unable to resize a table column using keyboard only,P3,enhancement
[Workbench] bogus javadoc for IMemento.TAG_ID,P3,trivial
[RCP][Views] Need the ability to resize views programmatically,P3,normal
[RCP] ApplicationWindow puts status line at top,P3,normal
[ViewMgmt] Activating two views in M8 hangs the workspace,P3,normal
[ViewMgmt] [RCP] Should have an app-level preference for whether detached views are supported,P3,normal
[EditorMgmt] editor extension panel missing * for icon,P3,normal
[ViewMgmt] Package explorer message clipped,P3,minor
Eclipse doesn't enforce user to enter the path to the workspace,P3,normal
[ViewMgmt] Problems when adding a part to a PartStack while the PartStack is in createControl(),P3,major
[Contributions] Regression test for action delegate dispose,P3,normal
[WorkbenchLauncher] Splash screen receives focus after task switch (instead of workspace launcher dialog),P3,normal
[RCP] Doc clarification required for IWorkbenchConfigurer.create*,P3,minor
[Viewers] Deferred viewers in JFace have a dependency on Job,P3,normal
[Viewers] - API Review - LazySortedCollection review comments,P3,normal
[Viewers] Search keeps showing selection while results still being added,P3,normal
[LinkedResources] Typing external path for folder link can be very slow,P3,normal
[Viewers] (doc only) incorrect use of html in javadoc of BackgroundContentProvider,P3,trivial
[Workbench] [Tests] Need regression tests for XMLMemento,P3,normal
[Dialogs] ProgressMonitorDialog not cancellable when fork is set to false,P3,normal
[Workbench] org.eclipse.ui.components.services ext pt is marked as experimental,P3,normal
[Workbench] Events are being dispatched and async/syncExecs are run before the Workbench is in a good state,P3,normal
SWT Exception on startup,P3,normal
ClassCircularityError during startup,P3,normal
The new progress monitor is running the event loop during class loading,P3,normal
[Workbench] Show startup progress under splash,P3,normal
[Workbench] Remove trim from StartupProgressMonitorDialog,P3,normal
[Viewers] - Lazy Virtual Table View Test - duplicate items appear after delete,P3,normal
[Contributions] the Resource perspective's Search menu disappears,P3,major
[Viewers] JFace StructuredViewer.preservingSelection ends up using Object.equals instead of comparer for comparing elements,P3,enhancement
Splash Screen and Progress window layout,P3,normal
[Workbench] Startup progress always on top,P3,major
[Workbench] Show product name in startup progress dialog if -nosplash is given,P3,normal
[WorkbenchLauncher] Workspace Launcher dialog does not have an icon,P3,normal
Startup Progress hidden by Splashscreen,P3,normal
[JFace] Geometry.setLocation does not behave as documented,P3,normal
"[Viewers] calling refresh on treeviewer in treeExpanded function, but it mess",P3,normal
[Workbench] [RCP] Default values for WorkbenchWindow.getPerspectiveBarVisible/CoolBarVisible do not match the values provided by the configurer,P3,major
[LinkedResources] Can the New->File->Advanced->Link to file in the file system default to the file name?,P3,enhancement
[Viewers] Disappearing icon in problem view when selecting the row,P3,normal
"[WorkbenchLauncher] ""Select a Workspace"" floats above the file chooser",P3,critical
[Tests] RCP test suite hangs on GTK,P3,normal
"[WorkbenchLauncher] Startup progress bar should announce loading, not loaded",P3,minor
[Coolbar] incorrect downcast in SubCoolBarManager.getStyle(),P3,normal
[Viewers] ContentViewer does not null out input on handleDisposed,P3,enhancement
[Viewers] TreeViewer needs more TableViewer API,P3,normal
[Viewers] Setting VIRTUAL TableViewer's input results in all TableItems being created,P3,normal
[Viewers] ColorAndFontCollector and getColorAndFontCollector() visibility conflict,P3,normal
[Viewers] TreeViewer SWT.VIRTUAL support.,P3,enhancement
[CommonNavigator] Allow extensions to participate in the save lifecycle,P3,enhancement
[WorkbenchParts] Need consistent save lifecycle when multiple parts share the same model,P3,enhancement
[Model] Error in XMLMemento.putMemento() - Text nodes are not copied,P3,normal
[Viewers] First elements do not match in VirtualLazyTableViewerTest,P3,major
[Graphics] Splash screen with version number,P3,normal
[DataBinding] MANIFEST.MF must export all packages,P3,normal
"[Viewers] Memory leak in TreeViewerTest, or TreeViewer, or Tree",P3,normal
[DataBinding] Table elements aren't IUpdatable,P3,critical
[DataBinding] need to handle model change events which don't happen in the UI thread,P3,normal
[LinkedResources] Links can now be at arbitrary depth,P3,normal
[DataBinding] Change tests plugin to pre-req examples,P3,normal
[DataBinding] Asserts should provide meaningful messages,P3,minor
[DataBinding] Need to support images in table cells,P3,normal
[DataBinding] DataBinding is static,P3,normal
[Databinding] [Metadata] unconventional internal package names in jface.databinding,P3,normal
[Databinding] [Metadata] jface.databinding should declare its javadoc location,P3,normal
[Viewers] ContentViewer.getLabelProvider javadoc is wrong,P3,normal
[Viewers] Test failure in MultipleEqualElementsTreeViewerTest.testExpansion,P3,normal
[Viewers] ClassCastException opening file from Navigator,P3,major
[Viewers] ColorAndFontCollector javadoc is wrong,P3,normal
[Viewers] preservingSelection(Runnable) comments are stale,P3,normal
[Viewers] getControl() contains no javadoc,P3,normal
[Viewers] internalRefresh(Object),P3,normal
[Workbench] Should cast to IStructuredSelection instead of StructuredSelection,P3,normal
[Viewers] Support for TreePath based content providers,P3,normal
[Viewers] Additional baheviour for TreeSelection,P3,normal
[LinkedResources] cannot extend variable,P3,normal
[WorkingSets] Deadlock on startup,P3,critical
[Viewers] Need to document that virtual tables and trees ignore sorters and filters,P3,normal
[Viewers] TreePath based sorting,P3,normal
[Workbench] test failure in StartupTest.testStartup,P3,normal
[Viewers] Remove GTK checks from StructuredViewerTest,P3,normal
[Viewers] Apidoc for setting ITableColorProvider missing,P3,enhancement
[DataBinding] Mark API provisional,P3,normal
[DataBinding] IDomainValidator needs to provide partial validation / be merged with IValidator,P3,normal
[ViewMgmt] Show View Dialog should remember size & location,P3,normal
[ViewMgmt] Show View Dialog should be able to show a view's description,P3,normal
[Workbench] remove comment about experimental status from IProductConstants,P3,normal
[DataBinding] small code style problems in AbstractObservable,P3,normal
[Viewers] Need access to the element comparer of a tree selection,P3,normal
[Intro] IDEWorkbenchWindowAdvisor should not call Bundle#start,P3,normal
[DataBinding] CComboObservableValue does not support null,P3,normal
[DataBinding] Serious Concern Over Test Structure / Lack of Tests,P3,normal
Save action state is not refreshed when Properties View is active for a selection in Common Navigator,P3,major
[DataBinding] Unexpected behavior from BindSpec converter and validator setters,P3,normal
[DataBinding] Provide javadoc for TextObservableValue,P3,minor
[CommonNavigator] NPE when closing common navigator,P3,normal
ITreeSelection does not offer getElementComparer(),P3,normal
[Viewers] Problems with TreeSelection#equals(..) and StructuredSelection#equals(..),P3,normal
[Reproduction] Baby needs to be born,P3,normal
[DataBinding] ValidationError javadoc makes references to ValidationResult,P3,trivial
[DataBinding] (C)ComboObservableValue should bind to selection index,P3,enhancement
[DataBinding] StructuredViewerObservableValue javadoc and code cleanup,P3,normal
"[DataBinding] Add support for IColorProvider, IFontProvider, and images for TableViewer",P3,enhancement
[WorkbenchLauncher] Improve documentation (Progressbar in splashscreen doesn't appear),P3,normal
[Viewers] ArrayIndexOutOfBounds in TreeSelection,P3,normal
[EditorMgmt] provide mechanism for restoring editors without materialization,P3,enhancement
[CommonNavigator] Remove obsolete API,P3,normal
[DataBinding] TestMasterDetail not updating when changing Person State,P3,normal
[Metadata] No version range specified when requiring bundles,P3,normal
[Metadata] No version range specified for org.eclipse.ui.ide when requiring bundles,P3,normal
[Viewers] Javadoc change about multiple equal elements in StructuredViewer and AbstractTreeViewer,P3,normal
[WorkbenchParts] Javadoc change: document limitations for implementers of ISaveablesSource,P3,normal
"[Workbench] After closing all perspectives, Project Explorer will never show content",P3,major
Performance: CommonNavigator could easily cache its ISelection to improve its performance,P3,normal
Add entry to ISV What's New about TreeViewer,P3,normal
[WorkspaceLauncher] Disallow space as workspace name,P3,normal
[DataBinding] Mocks InvocationHandler throws an exception when returning primitive type,P3,normal
[Viewers] TreeViewer holds on to filters after being disposed,P3,major
[DataBinding] Provide event objects for change listeners,P3,enhancement
[DataBinding] When attempting to fire a stale event AbstractObservable throws ClassCastException,P3,normal
[DataBinding] Remove observable factories from data binding context,P3,normal
[DataBinding] Extract SWT specific code from JFace databinding into its own bundle,P3,normal
[Dialogs] [RCP] Dialog.DLG_IMG_HELP not available in RCP apps,P3,normal
[Viewers] Common Baseclass for Tree/TableEditorImpl,P3,normal
[Viewers] Provide widget independent TableViewer  implementation,P3,normal
[Viewers] Protect against label providers that spin the event loop,P3,normal
[Viewers] IllegalArgumentException while viewing preference page,P3,critical
[IDE] bad value in the IIDEActionConstants,P3,normal
[Workbench] [RCP] SaveAllEditors ArrayIndexOutofBoundsException,P3,normal
[Viewers] Vitrual lazy tree viewer - refreshing a node does not make it expandable,P3,normal
[EditorMgmt] Close a Tab with the middle button,P3,trivial
[Viewers] enhancements to ILazyTreeContentProvider,P3,enhancement
[JFace] GridLayoutFactory lacks method to set margins individually,P3,minor
[Viewers] ListViewer should provide insert-method,P3,enhancement
[DataBinding] Only the first IValidator is used,P3,normal
